task_id	阶段	优先级	负责人角色	分析任务	主要输入	方法或约束	必需输出	闸门或完成标准
ANA001	A病例审计	P0	数据管理员	患者与报告去重	病理报告;受控映射	每名患者冻结一个index候选;保留所有关系	cohort_tiers.tsv;denominator_audit.tsv	分母按患者/报告分开
ANA002	A病例审计	P0	数据管理员+内镜专家	内镜episode候选链接	病理日期;内镜日期	7/14/30/60/90天窗;未链接原因	candidate_episode_links.tsv;window_sensitivity.tsv	时间窗不是病灶确认
ANA003	A病例审计	P0	生信+内镜专家	内镜文本病灶结构化	内镜报告文本	抽取部位/大小/形态/切除/病理号	lesion_candidates.tsv;ambiguity_log.tsv	候选不得直接视为确认链接
ANA004	A病例审计	P0	内镜+病理+数据管理员	病灶—标本—蜡块人工审计	候选链接;病理;蜡块系统	随机至少10例加全部歧义病例	linkage_audit.tsv;issue_log.tsv	稳定规则后再扩大
ANA005	A病例审计	P0	病理负责人	组织可行性漏斗	全部A层候选蜡块	唯一首个失败原因;B-L单独嵌套;计算N_resource_eligible并预留TECH/PILOT	tissue_inventory.tsv;case_funnel.tsv;exclusion_reasons.tsv;resource_closure.tsv	报告N_formal_untouched；<40则单中心正式队列数学上不可行
ANA006	B技术开发	P0	数字病理负责人	边界标注一致性	8-10例WSI	总体重复标注;kappa;边界置信带;所有E1 near-L第二病理独立复核	pathology_repeatability.tsv;near_l_dual_review.tsv	kappa>=0.70
ANA007	B技术开发	P0	空间分析负责人	连续切片配准	连续HE/未染/mIF	记录层号;配准误差;冻结坐标	registration_manifest.tsv	跨切片可靠配对率>=70%
ANA008	B技术开发	P0	空间分析负责人	真实路径距离计算	边界;腺体坐标	沿黏膜路径;禁止跨皱襞裂隙捷径	distance_manifest.tsv;distance_qc.tsv	距离ICC>=0.80
ANA009	B技术开发	P0	病理+空间负责人	匹配伪边界/损伤边界分析	修复/糜烂边界;非HGD边界;拓扑匹配伪边界	与真HGD边界使用相同算法；匹配病灶拓扑/边缘距离/可用黏膜长度	negative_boundary_qc.tsv	排除组织组成/损伤伪影
ANA010	B技术开发	P0	分子+生信负责人	体细胞事件发现	W-H;W-L-far;B-L;正常DNA	UMI变异;CNA;指纹;污染检查	clone_events_discovery.tsv	患者特异可回测事件
ANA011	B技术开发	P0	分子+生信负责人	腺体克隆回测	全部距离带腺体	UMI/数字PCR;位点特异LOD	clone_events.tsv;LOD_report.md	>=70%病例可获得锚点
ANA012	B技术开发	P0	独立克隆判定员	盲态克隆分级	事件表;W-H参照	strong/moderate/uncertain/not_supported/not_evaluable	clone_calls.tsv	盲于距离表型
ANA013	B技术开发	P0	生信+统计	腺体采样饱和分析	最初5例每区8-12腺体	按采样顺序计算归属稳定性	saturation.tsv	增采后归属改变<=15%
ANA014	B技术开发	P0	分子平台+统计	RT-qPCR技术选择	候选基因;Ct;RNA质量	只按缺失/重复性/纯度/批次选择	qpcr_qc.tsv;axis_freeze_decision.tsv	不得按距离P值选基因
