objective_id	phase	priority	question	analysis_unit	current_denominator	inputs	required_action	required_outputs	gate	status	owner_role	depends_on	claim_boundary
O01_COHORT_DENOMINATOR	A_REAL_COHORT	P0	报告级候选如何变成唯一患者和index病灶候选	patient;pathology_report	215 reports/203 patients;123 main reports/121 patients	PATH01_SINGLE_EXPERT_20260731;pathology_reports	冻结A/B/S分层;患者去重;多报告处理	cohort_tiers.tsv;patient_index_candidates.tsv;denominator_audit.tsv	G2_LINK	in_progress	data_steward;pathology_lead	NONE	不得把报告数称为患者或病灶数
O02_EPISODE_LINK	A_REAL_COHORT	P0	哪次内镜最可能对应目标病理	patient;endoscopy_episode	A tier 112 reports/110 patients;108 reports/106 patients within 30d	endoscopy_procedures;endoscopy_procedure_details;pathology_reports	生成7/14/30/60/90天候选;分级;记录未链接原因	candidate_episode_links.tsv;window_sensitivity.tsv;unlinked_reasons.tsv	G2_LINK	ready	data_steward;bioinformatics_lead	O01_COHORT_DENOMINATOR	时间窗候选不是病灶确认
O03_ENDOSCOPY_GAP	A_REAL_COHORT	P0	31天导出缺口是否造成候选漏链	patient;endoscopy_episode	A tier impact window 9 reports;3 currently lack prior-30d endoscopy	missing export 2025-08-30 to 2025-09-29	补导;去重;重算受影响病例链接	gap_intake_qc.tsv;gap_impact_before_after.tsv	G2_LINK	waiting_external	data_steward	O01_COHORT_DENOMINATOR	缺口不得解释为零检查
O04_LESION_STRUCTURING	A_REAL_COHORT	P0	检查级文本能否拆成可核验病灶	lesion_mention;endoscopy_episode	endoscopy_lesions=0;pathology_endoscopy_links=0	endoscopy text;procedure details	抽取病灶数;部位;大小;形态;处理;回收;病理号	lesion_candidates.tsv;field_qc.tsv;ambiguity_log.tsv	G2_LINK	ready	bioinformatics_lead;endoscopy_lead	O02_EPISODE_LINK	结构化候选不得直接写入确认链接
O05_LINK_AUDIT	A_REAL_COHORT	P0	episode-lesion-specimen-block链是否准确	patient;lesion;specimen;block	minimum 10 random plus all ambiguous cases	candidate links;pathology records;block system	人工核验;保留失败原因和一对多关系	linkage_audit.tsv;issue_log.tsv;rule_revision.tsv	G2_LINK	pending	endoscopy_lead;pathology_lead;data_steward	O03_ENDOSCOPY_GAP;O04_LESION_STRUCTURING	未由稳定键直连的正式病例需人工确认
O06_TISSUE_FUNNEL	B_TISSUE_FEASIBILITY	P0	有多少患者具备蜡块连续LGD边界和组织余量	patient;lesion;specimen;block	A tier 110 patients first	block inventory;slides;IHC;matched normal	盘点标本蜡块;边界;余量;匹配正常;B-L;tissue QC;计算N_resource_eligible和预留TECH/PILOT后的N_formal_untouched	tissue_inventory.tsv;case_funnel.tsv;exclusion_reasons.tsv;resource_closure.tsv	G2_MAIN;G2_BL	waiting_external	pathology_lead;lab_lead;data_steward	O05_LINK_AUDIT	完整资源病例不等于最终E1可分析病例；N_formal_untouched<40时不得声称单中心正式队列可行
O07_SPATIAL_PILOT	C_TECH_DEVELOPMENT	P0	真实路径距离能否稳定形成和重复	region;patient	8-10 technical cases	slides;block inventory;distance SOP	重复标注;所有E1 near-L双人复核;连续切片配准;冻结HGD exclusion buffer;sandwich H&E;路径距离;匹配伪边界	spatial_qc.tsv;distance_manifest.tsv;near_l_dual_review.tsv;sandwich_he_qc.tsv;repeatability_report.md	G3	pending	pathology_lead;spatial_lead	O06_TISSUE_FUNNEL	不重新二次盲审PATH01诊断
O08_CLONE_PILOT	C_TECH_DEVELOPMENT	P0	FFPE多腺体能否获得可信克隆锚点	gland;region;patient	8-10 technical cases;first 5 high-density	matched normal;UMI DNA;low-depth CNA	每关键区8-12腺体起步;事件发现;回测;饱和分析;HGD admixture QC;评估same-clone距离可识别性	clone_events.tsv;clone_calls.tsv;saturation.tsv;hgd_admixture_qc.tsv;e1_support_by_patient.tsv;LOD_report.md	G4	pending	molecular_lead;bioinformatics_lead	O07_SPATIAL_PILOT	热点或宽臂CNA不能单独定义同克隆；有克隆锚点不等于E1距离斜率可识别
O09_ENDPOINT_PILOT	C_TECH_DEVELOPMENT	P0	哪个单一区室读出技术表现最佳	region;patient	8-10 technical cases	PDGFRB;fixed stromal TGFb-ECM members;I3;compartment assays	仅按重复性缺失纯度批次选择一个主终点	endpoint_comparison.tsv;endpoint_freeze_decision.tsv	G5	pending	spatial_lead;statistician	O07_SPATIAL_PILOT	不得按距离效应或P值选择终点
O10_DESIGN_CONFIRM	D_CONFIRMATION	P0	正式样本量和全部技术参数能否冻结	patient	15-20 independent cases if resource permits	预冻结Delta_target;pilot方差/ICC/失败率;G2漏斗;L3 formal_e1_eligible率;SAP	独立先导;方向与稳健性判断;不以L4最大效应作为power目标;保守样本量模拟;资源闭合复核	signed_SAP;power_precision_simulation.tsv;freeze_register.tsv	G6	pending	statistician;project_lead	O08_CLONE_PILOT;O09_ENDPOINT_PILOT	开发/先导病例不并入普通正式推断；Delta_target须在L4揭盲前冻结；单中心需N_E1_expected>=40
O11_FORMAL_E1_E5	E_FORMAL	P0	旗舰假设及竞争解释是否成立	patient	40-60 E1-analyzable patients；不是40-60 enrolled	locked five-level data;frozen SAP	E1患者级同克隆斜率等权汇总;E4独立distance×clone交互;敏感性;阴性结果;偏离审计	locked_analysis_sets;registered_results;deviation_log	G6	pending	statistician;bioinformatics_lead	O10_DESIGN_CONFIRM;O06_TISSUE_FUNNEL	E1失败时次要终点不能替代确认性成功；腺体数不增加患者权重
O12_PUBLIC_REVIEW	F_EXTERNAL_CONTEXT	P0	既有公共结果能否通过独立复核	patient within each public dataset	5 P0 datasets;38 registered results	frozen public inputs;code;logs	非结果生产者复核全部结果和主张边界	independent_review_log.tsv;G1_decision.tsv	G1	ready	independent_reviewer	PUB06_SYNTHESIS	公共数据仅为候选和外部参照
O13_PUBLIC_GAP_FILL	F_EXTERNAL_CONTEXT	P1	哪些新增公共数据填补明确缺口	patient;sample	GSE41657 first;CRC single-cell;qualified proteomics	public repositories	按LGD-HGD桥接;细胞来源;蛋白可检测性定向补取	evidence_passports;sample_manifests;gap_reports	G1	conditional	bioinformatics_lead	O12_PUBLIC_REVIEW	新增数据不验证真实边界且不阻塞本地队列
O14_PORTFOLIO_GOV	G_MANUSCRIPT	P0	如何确保每篇论文都有不可替代的院内数据贡献且不重复发表	paper_id;result_id	5 active local-data papers	paper registry;result ownership registry;claims registry	逐稿核验院内数据必要性;冻结结果归属;披露重叠	paper_portfolio.tsv;result_ownership.tsv;claim_audit.tsv	PORTFOLIO_LOCAL	in_progress	project_lead;independent_reviewer	O01_COHORT_DENOMINATOR	任何论文没有实质院内结果即不得独立投稿;公共数据不能单独成稿
O15_P01_LOCAL_VALIDATION	G_MANUSCRIPT	P1	公共候选能否在院内统一新染色HGD和匹配LGD组织中复现	patient	待蜡块盘点确定	frozen public results;local HGD and pure-LGD blocks	连续入组;统一新染色;盲态区室评分;患者级比较	P01 protocol;local result registry;manuscript package	G1;P01_LOCAL	conditional_in_progress	pathology_lead;spatial_lead;bioinformatics_lead	O06_TISSUE_FUNNEL;O12_PUBLIC_REVIEW	不估计真实边界距离或克隆;院内验证失败即停止独立成稿
